GENERAL;X SEXO;ATLETA;T. TOTAL;PEDESTRISMO;PROMEDIO PEDESTRISMO;CICLISMO;PROMEDIO CICLISMO;PEDESTRISMO;PROMEDIO PEDESTRISMO;EQUIPO
137;113;FEDERICO;01:07:36;00:16:48;2:14 min/km — 26,79 km/h;00:42:29;1:25 min/km — 42,37 km/h;00:08:19;1:40 min/km — 36,07 km/h;MB Coaching
138;114;IBANEZ;01:07:39;00:20:24;2:43 min/km — 22,06 km/h;00:36:42;1:13 min/km — 49,05 km/h;00:10:33;2:07 min/km — 28,44 km/h;DEPORSUR
139;115;REQUITERENA;01:07:44;00:21:09;2:49 min/km — 21,28 km/h;00:35:48;1:12 min/km — 50,28 km/h;00:10:47;2:09 min/km — 27,82 km/h;EQUIPO KORU
140;116;RAMIREZ;01:07:45;00:21:37;2:53 min/km — 20,82 km/h;00:34:52;1:10 min/km — 51,63 km/h;00:11:16;2:15 min/km — 26,63 km/h;MB Coaching
141;117;BONINI;01:07:53;00:19:30;2:36 min/km — 23,08 km/h;00:37:39;1:15 min/km — 47,81 km/h;00:10:44;2:09 min/km — 27,95 km/h;DEPORSUR
142;118;YARDIN;01:09:32;00:20:25;2:43 min/km — 22,04 km/h;00:35:00;1:10 min/km — 51,43 km/h;00:14:07;2:49 min/km — 21,25 km/h;EQUIPO KORU
143;119;IGARZABAL;01:10:23;00:21:14;2:50 min/km — 21,19 km/h;00:36:08;1:12 min/km — 49,82 km/h;00:13:01;2:36 min/km — 23,05 km/h;MB Coaching
144;120;CASTRO;01:11:01;00:20:15;2:42 min/km — 22,22 km/h;00:40:45;1:22 min/km — 44,17 km/h;00:10:01;2:00 min/km — 29,95 km/h;DEPORSUR
145;121;DOMINGUEZ;01:11:07;00:21:08;2:49 min/km — 21,29 km/h;00:39:11;1:18 min/km — 45,94 km/h;00:10:48;2:10 min/km — 27,78 km/h;EQUIPO KORU
146;122;TELLECHEA;01:11:27;00:20:54;2:47 min/km — 21,53 km/h;00:39:25;1:19 min/km — 45,67 km/h;00:11:08;2:14 min/km — 26,95 km/h;MB Coaching
147;123;QUINTIN;01:11:36;00:20:00;2:40 min/km — 22,50 km/h;00:40:34;1:21 min/km — 44,37 km/h;00:11:02;2:12 min/km — 27,19 km/h;DEPORSUR
148;124;GONZLEZ;01:11:36;00:21:51;2:55 min/km — 20,59 km/h;00:38:54;1:18 min/km — 46,27 km/h;00:10:51;2:10 min/km — 27,65 km/h;EQUIPO KORU
149;24;BRUN;01:11:57;00:20:29;2:44 min/km — 21,97 km/h;00:40:45;1:22 min/km — 44,17 km/h;00:10:43;2:09 min/km — 27,99 km/h;MB Coaching
150;125;PACHECO;01:13:02;00:21:49;2:55 min/km — 20,63 km/h;00:39:10;1:18 min/km — 45,96 km/h;00:12:03;2:25 min/km — 24,90 km/h;DEPORSUR
151;25;BUGNA;01:13:54;00:20:49;2:47 min/km — 21,62 km/h;00:42:21;1:25 min/km — 42,50 km/h;00:10:44;2:09 min/km — 27,95 km/h;EQUIPO KORU
152;126;LOPEZ;01:14:05;00:25:14;3:22 min/km — 17,83 km/h;00:35:36;1:11 min/km — 50,56 km/h;00:13:15;2:39 min/km — 22,64 km/h;MB Coaching
153;26;GONZLEZ;01:14:08;00:21:40;2:53 min/km — 20,77 km/h;00:41:43;1:23 min/km — 43,15 km/h;00:10:45;2:09 min/km — 27,91 km/h;DEPORSUR
154;127;PEREIRO;01:14:09;00:25:02;3:20 min/km — 17,98 km/h;00:37:31;1:15 min/km — 47,98 km/h;00:11:36;2:19 min/km — 25,86 km/h;EQUIPO KORU
155;128;REY;01:14:18;00:21:23;2:51 min/km — 21,04 km/h;00:42:23;1:25 min/km — 42,47 km/h;00:10:32;2:06 min/km — 28,48 km/h;MB Coaching
156;129;VISCONTI;01:14:38;00:22:08;2:57 min/km — 20,33 km/h;00:40:42;1:21 min/km — 44,23 km/h;00:11:48;2:22 min/km — 25,42 km/h;DEPORSUR
157;130;MARTINEZ;01:14:38;00:22:14;2:58 min/km — 20,24 km/h;00:40:57;1:22 min/km — 43,96 km/h;00:11:27;2:17 min/km — 26,20 km/h;EQUIPO KORU
158;131;FERNANDEZ;01:14:49;00:21:00;2:48 min/km — 21,43 km/h;00:42:50;1:26 min/km — 42,02 km/h;00:10:59;2:12 min/km — 27,31 km/h;MB Coaching
159;27;DE ARMAS;01:14:55;00:21:59;2:56 min/km — 20,47 km/h;00:41:27;1:23 min/km — 43,43 km/h;00:11:29;2:18 min/km — 26,12 km/h;DEPORSUR
160;132;ODRIOZOLA;01:14:57;00:21:25;2:51 min/km — 21,01 km/h;00:41:52;1:24 min/km — 42,99 km/h;00:11:40;2:20 min/km — 25,71 km/h;EQUIPO KORU
161;133;DE FREITAS;01:15:01;00:23:03;3:04 min/km — 19,52 km/h;00:40:52;1:22 min/km — 44,05 km/h;00:11:06;2:13 min/km — 27,03 km/h;MB Coaching
162;134;GAITN ;01:15:03;00:20:30;2:44 min/km — 21,95 km/h;00:43:04;1:26 min/km — 41,80 km/h;00:11:29;2:18 min/km — 26,12 km/h;DEPORSUR
163;135;GISMERO;01:16:50;00:23:04;3:05 min/km — 19,51 km/h;00:41:05;1:22 min/km — 43,81 km/h;00:12:41;2:32 min/km — 23,65 km/h;EQUIPO KORU
164;136;LACORDELLE;01:16:54;00:24:00;3:12 min/km — 18,75 km/h;00:40:55;1:22 min/km — 43,99 km/h;00:11:59;2:24 min/km — 25,03 km/h;MB Coaching
165;137;RIVERO;01:17:06;00:23:07;3:05 min/km — 19,47 km/h;00:41:02;1:22 min/km — 43,87 km/h;00:12:57;2:35 min/km — 23,17 km/h;DEPORSUR
166;138;OCAMPO;01:17:54;00:24:34;3:17 min/km — 18,32 km/h;00:40:59;1:22 min/km — 43,92 km/h;00:12:21;2:28 min/km — 24,29 km/h;EQUIPO KORU
167;28;LA CRUZ;01:18:03;00:23:32;3:08 min/km — 19,12 km/h;00:42:02;1:24 min/km — 42,82 km/h;00:12:29;2:30 min/km — 24,03 km/h;MB Coaching
168;139;RODRIGUEZ;01:18:22;00:23:34;3:09 min/km — 19,09 km/h;00:42:46;1:26 min/km — 42,09 km/h;00:12:02;2:24 min/km — 24,93 km/h;DEPORSUR
169;140;MEDERO;01:18:28;00:24:13;3:14 min/km — 18,58 km/h;00:40:39;1:21 min/km — 44,28 km/h;00:13:36;2:43 min/km — 22,06 km/h;EQUIPO KORU
170;29;JULIETA;01:18:42;00:23:30;3:08 min/km — 19,15 km/h;00:41:52;1:24 min/km — 42,99 km/h;00:13:20;2:40 min/km — 22,50 km/h;MB Coaching
171;30;FONTORA;01:19:11;00:23:17;3:06 min/km — 19,33 km/h;00:43:38;1:27 min/km — 41,25 km/h;00:12:16;2:27 min/km — 24,46 km/h;DEPORSUR
172;31;LIMA;01:19:47;00:23:00;3:04 min/km — 19,57 km/h;00:44:30;1:29 min/km — 40,45 km/h;00:12:17;2:27 min/km — 24,42 km/h;EQUIPO KORU
173;141;MESA;01:20:33;00:23:39;3:09 min/km — 19,03 km/h;00:42:37;1:25 min/km — 42,24 km/h;00:14:17;2:51 min/km — 21,00 km/h;MB Coaching
174;32;GOMEZ;01:21:01;00:24:25;3:15 min/km — 18,43 km/h;00:43:18;1:27 min/km — 41,57 km/h;00:13:18;2:40 min/km — 22,56 km/h;DEPORSUR
175;142;CABRERA;01:21:21;00:23:09;3:05 min/km — 19,44 km/h;00:45:23;1:31 min/km — 39,66 km/h;00:12:49;2:34 min/km — 23,41 km/h;EQUIPO KORU
176;143;ANTUNEZ;01:21:39;00:23:55;3:11 min/km — 18,82 km/h;00:45:52;1:32 min/km — 39,24 km/h;00:11:52;2:22 min/km — 25,28 km/h;MB Coaching
177;33;ROJAS;01:21:55;00:24:39;3:17 min/km — 18,26 km/h;00:44:03;1:28 min/km — 40,86 km/h;00:13:13;2:39 min/km — 22,70 km/h;DEPORSUR
178;34;NOGUEIRA;01:21:55;00:25:23;3:23 min/km — 17,73 km/h;00:43:38;1:27 min/km — 41,25 km/h;00:12:54;2:35 min/km — 23,26 km/h;EQUIPO KORU
179;35;FERNNDEZ;01:22:48;00:23:41;3:09 min/km — 19,00 km/h;00:46:43;1:33 min/km — 38,53 km/h;00:12:24;2:29 min/km — 24,19 km/h;MB Coaching
180;144;PEREZ;01:23:10;00:24:38;3:17 min/km — 18,27 km/h;00:46:10;1:32 min/km — 38,99 km/h;00:12:22;2:28 min/km — 24,26 km/h;DEPORSUR
181;36;QUINONEZ;01:23:15;00:23:48;3:10 min/km — 18,91 km/h;00:46:42;1:33 min/km — 38,54 km/h;00:12:45;2:33 min/km — 23,53 km/h;EQUIPO KORU
182;145;PEREZ;01:23:57;00:25:10;3:21 min/km — 17,88 km/h;00:43:00;1:26 min/km — 41,86 km/h;00:15:47;3:09 min/km — 19,01 km/h;MB Coaching
183;37;MACHADO;01:24:05;00:24:36;3:17 min/km — 18,29 km/h;00:46:42;1:33 min/km — 38,54 km/h;00:12:47;2:33 min/km — 23,47 km/h;DEPORSUR
184;38;CHIRIONE;01:24:50;00:28:23;3:47 min/km — 15,85 km/h;00:41:42;1:23 min/km — 43,17 km/h;00:14:45;2:57 min/km — 20,34 km/h;EQUIPO KORU
185;39;SUREZ;01:25:55;00:24:31;3:16 min/km — 18,35 km/h;00:48:44;1:37 min/km — 36,94 km/h;00:12:40;2:32 min/km — 23,68 km/h;MB Coaching
186;40;SANABRIA;01:26:59;00:25:38;3:25 min/km — 17,56 km/h;00:47:20;1:35 min/km — 38,03 km/h;00:14:01;2:48 min/km — 21,40 km/h;DEPORSUR
187;41;REGA;01:27:11;00:25:07;3:21 min/km — 17,92 km/h;00:48:25;1:37 min/km — 37,18 km/h;00:13:39;2:44 min/km — 21,98 km/h;EQUIPO KORU
188;146;GARCIA;01:27:32;00:28:23;3:47 min/km — 15,85 km/h;00:44:15;1:28 min/km — 40,68 km/h;00:14:54;2:59 min/km — 20,13 km/h;MB Coaching
189;42;MARTINEZ;01:27:40;00:25:48;3:26 min/km — 17,44 km/h;00:48:12;1:36 min/km — 37,34 km/h;00:13:40;2:44 min/km — 21,95 km/h;DEPORSUR
190;43;ROSANO;01:28:18;00:27:06;3:37 min/km — 16,61 km/h;00:46:09;1:32 min/km — 39,00 km/h;00:15:03;3:01 min/km — 19,93 km/h;EQUIPO KORU
191;44;SOLER;01:28:36;00:27:23;3:39 min/km — 16,43 km/h;00:46:33;1:33 min/km — 38,67 km/h;00:14:40;2:56 min/km — 20,45 km/h;MB Coaching
192;147;ARGUELLO;01:28:59;00:27:17;3:38 min/km — 16,49 km/h;00:48:44;1:37 min/km — 36,94 km/h;00:12:58;2:36 min/km — 23,14 km/h;DEPORSUR
193;45;MAKOVIESKY;01:30:06;00:28:46;3:50 min/km — 15,64 km/h;00:45:12;1:30 min/km — 39,82 km/h;00:16:08;3:14 min/km — 18,60 km/h;EQUIPO KORU
194;46;DELGADO;01:30:26;00:28:21;3:47 min/km — 15,87 km/h;00:47:14;1:34 min/km — 38,11 km/h;00:14:51;2:58 min/km — 20,20 km/h;MB Coaching
195;148;PERAZA;01:31:39;00:25:20;3:23 min/km — 17,76 km/h;00:52:58;1:46 min/km — 33,98 km/h;00:13:21;2:40 min/km — 22,47 km/h;DEPORSUR
196;149;LLULL;01:34:46;00:27:41;3:41 min/km — 16,26 km/h;00:51:47;1:44 min/km — 34,76 km/h;00:15:18;3:04 min/km — 19,61 km/h;DEPORSUR
197;150;PIQUEREZ;01:42:57;00:28:52;3:51 min/km — 15,59 km/h;00:57:50;1:56 min/km — 31,12 km/h;00:16:15;3:15 min/km — 18,46 km/h;EQUIPO KORU
