GENERAL;X SEXO;ATLETA;T. TOTAL;PEDESTRISMO;PROMEDIO PEDESTRISMO;CICLISMO;PROMEDIO CICLISMO;PEDESTRISMO;PROMEDIO PEDESTRISMO;EQUIPO
31;31;SERVETTI DANIEL;01:06:07;00:19:39;3:56 min/km — 15,27 km/h;00:36:08;1:48 min/km — 33,21 km/h;00:10:20;4:08 min/km — 14,52 km/h;EQUIPO KORU
32;32;GRCIC BALDO;01:06:09;00:19:49;3:58 min/km — 15,14 km/h;00:36:18;1:49 min/km — 33,06 km/h;00:10:02;4:01 min/km — 14,95 km/h;MB Coaching
33;33;SOSA JOEL;01:06:25;00:18:52;3:46 min/km — 15,90 km/h;00:37:02;1:51 min/km — 32,40 km/h;00:10:31;4:12 min/km — 14,26 km/h;DEPORSUR
34;34;BELOQUI PABLO;01:06:27;00:21:07;4:13 min/km — 14,21 km/h;00:35:01;1:45 min/km — 34,27 km/h;00:10:19;4:08 min/km — 14,54 km/h;EQUIPO KORU
35;35;RODRIGUEZ ANDRES;01:06:29;00:20:51;4:10 min/km — 14,39 km/h;00:35:06;1:45 min/km — 34,19 km/h;00:10:32;4:13 min/km — 14,24 km/h;MB Coaching
36;36;DIAZ JAVIER;01:06:50;00:23:08;4:38 min/km — 12,97 km/h;00:31:34;1:35 min/km — 38,01 km/h;00:12:08;4:51 min/km — 12,36 km/h;DEPORSUR
37;37;MOREIRA FEDERICO;01:07:24;00:20:59;4:12 min/km — 14,30 km/h;00:35:05;1:45 min/km — 34,20 km/h;00:11:20;4:32 min/km — 13,24 km/h;EQUIPO KORU
38;38;MARTINEZ FEDERICO;01:07:36;00:16:48;3:22 min/km — 17,86 km/h;00:42:29;2:07 min/km — 28,25 km/h;00:08:19;3:20 min/km — 18,04 km/h;MB Coaching
39;39;IBANEZ JORGE;01:07:39;00:20:24;4:05 min/km — 14,71 km/h;00:36:42;1:50 min/km — 32,70 km/h;00:10:33;4:13 min/km — 14,22 km/h;DEPORSUR
40;40;REQUITERENA CRISTHIAN;01:07:44;00:21:09;4:14 min/km — 14,18 km/h;00:35:48;1:47 min/km — 33,52 km/h;00:10:47;4:19 min/km — 13,91 km/h;EQUIPO KORU
41;41;RAMIREZ JOSE WASHINGTON;01:07:45;00:21:37;4:19 min/km — 13,88 km/h;00:34:52;1:45 min/km — 34,42 km/h;00:11:16;4:30 min/km — 13,31 km/h;MB Coaching
42;42;BONINI FEDERICO;01:07:53;00:19:30;3:54 min/km — 15,38 km/h;00:37:39;1:53 min/km — 31,87 km/h;00:10:44;4:18 min/km — 13,98 km/h;DEPORSUR
43;43;YARDIN MAXIMILIANO;01:09:32;00:20:25;4:05 min/km — 14,69 km/h;00:35:00;1:45 min/km — 34,29 km/h;00:14:07;5:39 min/km — 10,63 km/h;EQUIPO KORU
44;44;IGARZABAL JORGE;01:10:23;00:21:14;4:15 min/km — 14,13 km/h;00:36:08;1:48 min/km — 33,21 km/h;00:13:01;5:12 min/km — 11,52 km/h;MB Coaching
45;45;CASTRO MATIAS;01:11:01;00:20:15;4:03 min/km — 14,81 km/h;00:40:45;2:02 min/km — 29,45 km/h;00:10:01;4:00 min/km — 14,98 km/h;DEPORSUR
46;46;DOMINGUEZ ANTONIO;01:11:07;00:21:08;4:14 min/km — 14,20 km/h;00:39:11;1:58 min/km — 30,63 km/h;00:10:48;4:19 min/km — 13,89 km/h;EQUIPO KORU
47;47;TELLECHEA JUAN MANUEL;01:11:27;00:20:54;4:11 min/km — 14,35 km/h;00:39:25;1:58 min/km — 30,44 km/h;00:11:08;4:27 min/km — 13,47 km/h;MB Coaching
48;48;QUINTIN EMANUEL;01:11:36;00:20:00;4:00 min/km — 15,00 km/h;00:40:34;2:02 min/km — 29,58 km/h;00:11:02;4:25 min/km — 13,60 km/h;DEPORSUR
49;49;GONZLEZ JOSE LUIS;01:11:36;00:21:51;4:22 min/km — 13,73 km/h;00:38:54;1:57 min/km — 30,85 km/h;00:10:51;4:20 min/km — 13,82 km/h;EQUIPO KORU
50;1;BRUN KARINA;01:11:57;00:20:29;4:06 min/km — 14,65 km/h;00:40:45;2:02 min/km — 29,45 km/h;00:10:43;4:17 min/km — 14,00 km/h;MB Coaching
51;50;PACHECO PABLO MARTIN;01:13:02;00:21:49;4:22 min/km — 13,75 km/h;00:39:10;1:57 min/km — 30,64 km/h;00:12:03;4:49 min/km — 12,45 km/h;DEPORSUR
52;2;BUGNA CARINA;01:13:54;00:20:49;4:10 min/km — 14,41 km/h;00:42:21;2:07 min/km — 28,34 km/h;00:10:44;4:18 min/km — 13,98 km/h;EQUIPO KORU
53;51;LOPEZ SEBASTIAN;01:14:05;00:25:14;5:03 min/km — 11,89 km/h;00:35:36;1:47 min/km — 33,71 km/h;00:13:15;5:18 min/km — 11,32 km/h;MB Coaching
54;3;GONZLEZ PILAR;01:14:08;00:21:40;4:20 min/km — 13,85 km/h;00:41:43;2:05 min/km — 28,77 km/h;00:10:45;4:18 min/km — 13,95 km/h;DEPORSUR
55;52;PEREIRO NICOLAS;01:14:09;00:25:02;5:00 min/km — 11,98 km/h;00:37:31;1:53 min/km — 31,99 km/h;00:11:36;4:38 min/km — 12,93 km/h;EQUIPO KORU
56;53;REY ANDRES;01:14:18;00:21:23;4:17 min/km — 14,03 km/h;00:42:23;2:07 min/km — 28,31 km/h;00:10:32;4:13 min/km — 14,24 km/h;MB Coaching
